ID,Year,Type,Title,Problems
001,1990,Newspaper,Crackdown on Legion of Doom: Hackers linked to Internet break-ins,
002,1990,Newspaper,GET TOUGH WITH COMPUTER HACKERS,
003,1990,Scholarly Journal,Hacking Away at the Counterculture,
004,1990,Scholarly Journal,,***no article***
005,1991,Newspaper,COMPUTER HACKER GETS PROBATION,
006,1991,Newspaper,,"***no text, pdf***"
007,1991,Scholarly Journal,Hacking Away at the Counterculture,*duplicate
008,1991,Scholarly Journal,The Internet- Gord Nickerson- 1991,
009,1992,Newspaper,INNOVATIONS Arctic one small step for Internet users,
010,1992,Newspaper,Internet Architect Gives Long-Term View,
011,1992,Scholarly Journal,Article- Online Searching with Internet,
012,1992,Scholarly Journal,One University_s Approach to the Requirements of Academic Computing,
013,1993,Newspaper,,
014,1993,Newspaper,Getting Your Feet Wet In a Sea Called Internet,
015,1993,Scholarly Journal,Beyond databases and E-Mail,
016,1993,Scholarly Journal,Casting the Internet,
017,1994,Newspaper,Internet Ads_ The Highest Treason_ - Martin J. Smith,
018,1994,Newspaper,Guideposts For Hikers On Internet Pathways,
019,1994,Scholarly Journal,A Softbot-Based Interface to the Internet_,
020,1994,Scholarly Journal,"Integrating the Internet into the Business Environment - Granger, Schroeder",
021,1995,Newspaper,"Internet or no Internet, new technology is going to change our lives",
022,1995,Newspaper,"Internets Reach In Society Grows, Survey Finds Internets Popularity Grows With Public, Survey Finds",
023,1995,Scholarly Journal,Guide to the Internet_ Introducing the Internet,
024,1995,Scholarly Journal,Internet insights How academics are using the Internet,
025,1996,Newspaper,Poor service on Internet can turn the disgruntled into consumer from hell: ,
026,1996,Newspaper,The Internet -- Who Uses the Internet,
027,1996,Newspaper,Virtual Malls Just One More Choice,
028,1996,Scholarly Journal,Future trends on the Net,
029,1996,Scholarly Journal,Internet Service Providers form strategic alliances,
030,1997,Newspaper,"Asian Infrastructure Telecommunications Wired for Sound Internet telephony could level the playing field, Thanks to dramatically lower costs - Michael Kwan",
031,1997,Newspaper,"The Internet as Commerce_ Who Pays, Under What Rules_",
032,1997,Scholarly Journal,Ten myths of the Internet,
033,1997,Scholarly Journal,Training the Internet trainers - Michael Kwan,
034,1998,Newspaper,Internet Calling Routing long-distance calls through the Internet is catching on quickly,
035,1998,Newspaper,Internet Commerce: Click and Buy: Doing Business on the Net Why-and Where-Internet Commerce Is Succeeding,
036,1998,Scholarly Journal,Internet resources The Internet in the classroom,
037,1998,Scholarly Journal,Small and mid-sized businesses and Internet use: unrealized potential?,
038,,,,
039,,,,
040,,,,
041,,,,
042,,,,
043,,,,
044,,,,
045,,,,
046,,,,